id,rating,rank,results1,results2,results3,results4,results5,games,winrate,after_game_period
1,55.0,475.0,0.0,0.0,1.0,0.0,0.0,146.0,0.5616438356164384,34.0
2,695.0,65.0,1.0,1.0,1.0,0.0,1.0,378.0,0.582010582010582,1.0
3,925.0,39.0,1.0,0.0,0.0,1.0,1.0,205.0,0.7463414634146341,3.0
4,,,1.0,1.0,1.0,1.0,1.0,9.0,0.7777777777777778,1.0
5,483.0,75.0,0.0,0.0,0.0,1.0,1.0,42.0,0.40476190476190477,2.0
6,950.0,41.0,1.0,0.0,0.0,0.0,1.0,75.0,0.5466666666666666,1.0
7,160.0,308.0,0.0,0.0,1.0,0.0,1.0,586.0,0.6723549488054608,2.0
8,,,,,,,,,,
9,445.0,92.0,0.0,0.0,0.0,1.0,0.0,237.0,0.5949367088607594,21.0
10,325.0,161.0,0.0,1.0,0.0,0.0,0.0,527.0,0.6394686907020873,105.0
11,290.0,153.0,1.0,0.0,1.0,0.0,0.0,100.0,0.41,21.0
12,373.0,142.0,0.0,1.0,0.0,1.0,0.0,535.0,0.5196261682242991,18.0
13,106.0,470.0,1.0,0.0,0.0,0.0,0.0,308.0,0.564935064935065,7.0
14,274.0,154.0,1.0,0.0,1.0,1.0,1.0,135.0,0.4666666666666667,1.0
15,64.0,449.0,0.0,0.0,0.0,0.0,1.0,184.0,0.41847826086956524,85.0
16,55.0,483.0,1.0,0.0,1.0,0.0,0.0,153.0,0.5228758169934641,1984.0
17,129.0,273.0,1.0,1.0,0.0,1.0,0.0,121.0,0.5702479338842975,48.0
18,71.0,459.0,1.0,0.0,1.0,0.0,0.0,485.0,0.5319587628865979,0.0
19,4305.0,6.0,1.0,1.0,1.0,1.0,1.0,1156.0,0.8520761245674741,2.0
20,125.0,289.0,0.0,0.0,1.0,0.0,0.0,81.0,0.5308641975308642,216.0
21,86.0,385.0,0.0,0.0,1.0,0.0,0.0,283.0,0.5300353356890459,21.0
22,40.0,655.0,0.0,0.0,1.0,0.0,1.0,561.0,0.6114081996434938,1.0
23,456.0,175.0,0.0,0.0,1.0,0.0,0.0,282.0,0.5460992907801419,4.0
